cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,ozone(ug/m^3),nd(ug/m^3),cm(ug/m^3),sagas(ug/m^3),fdust^2,ufdust^2,ozone^2,nd^2,cm^2,sagas^2
2018-10-14,100,도심권,111121,중구,32,20.0,0.028,0.032,0.5,0.003,59.99999999999999,65.71428571428572,625.0,8.571428571428573,1024.0,400.0,3599.999999999999,4318.367346938777,390625.0,73.46938775510206
2018-10-14,104,동남권,111274,강동구,32,18.0,0.023,0.026,0.5,0.008,49.28571428571428,53.392857142857146,625.0,22.857142857142858,1024.0,324.0,2429.0816326530603,2850.7971938775513,390625.0,522.4489795918367
2018-10-14,104,동남권,111273,송파구,26,15.0,0.025,0.024,0.6,0.004,53.57142857142857,49.28571428571429,750.0,11.428571428571429,676.0,225.0,2869.8979591836733,2429.0816326530617,562500.0,130.6122448979592
2018-10-14,104,동남권,111262,서초구,41,25.0,0.023,0.03,0.4,0.003,49.28571428571428,61.60714285714286,500.0,8.571428571428573,1681.0,625.0,2429.0816326530603,3795.4400510204086,250000.0,73.46938775510206
2018-10-14,104,동남권,111261,강남구,27,16.0,0.02,0.031,0.4,0.005,42.857142857142854,63.66071428571429,500.0,14.285714285714286,729.0,256.0,1836.7346938775509,4052.686543367348,250000.0,204.08163265306123
2018-10-14,103,서남권,111301,양천구,32,19.0,0.026,0.042,0.6,0.002,55.71428571428571,86.25000000000001,750.0,5.714285714285714,1024.0,361.0,3104.0816326530608,7439.062500000003,562500.0,32.6530612244898
2018-10-14,103,서남권,111281,금천구,33,21.0,0.024,0.035,0.5,0.003,51.42857142857142,71.87500000000001,625.0,8.571428571428573,1089.0,441.0,2644.897959183673,5166.015625000002,390625.0,73.46938775510206
2018-10-14,103,서남권,111251,관악구,46,32.0,0.023,0.035,0.5,0.003,49.28571428571428,71.87500000000001,625.0,8.571428571428573,2116.0,1024.0,2429.0816326530603,5166.015625000002,390625.0,73.46938775510206
2018-10-14,103,서남권,111241,동작구,35,17.0,0.025,0.034,0.6,0.003,53.57142857142857,69.82142857142858,750.0,8.571428571428573,1225.0,289.0,2869.8979591836733,4875.0318877551035,562500.0,73.46938775510206
2018-10-14,103,서남권,111231,영등포구,52,34.0,0.026,0.018000000000000002,0.7,0.005,55.71428571428571,36.96428571428572,875.0,14.285714285714286,2704.0,1156.0,3104.0816326530608,1366.3584183673474,765625.0,204.08163265306123
2018-10-14,103,서남권,111221,구로구,42,24.0,0.025,0.032,0.4,0.004,53.57142857142857,65.71428571428572,500.0,11.428571428571429,1764.0,576.0,2869.8979591836733,4318.367346938777,250000.0,130.6122448979592
2018-10-14,103,서남권,111212,강서구,32,18.0,0.026,0.032,0.5,0.004,55.71428571428571,65.71428571428572,625.0,11.428571428571429,1024.0,324.0,3104.0816326530608,4318.367346938777,390625.0,130.6122448979592
2018-10-14,102,동북권,111311,노원구,34,21.0,0.032,0.027000000000000003,0.5,0.004,68.57142857142857,55.446428571428584,625.0,11.428571428571429,1156.0,441.0,4702.04081632653,3074.306441326532,390625.0,130.6122448979592
2018-10-14,102,동북권,111291,강북구,27,20.0,0.031,0.021,0.5,0.002,66.42857142857142,43.12500000000001,625.0,5.714285714285714,729.0,400.0,4412.755102040815,1859.7656250000007,390625.0,32.6530612244898
2018-10-14,102,동북권,111171,도봉구,44,30.0,0.026,0.025,0.8,0.005,55.71428571428571,51.33928571428572,1000.0,14.285714285714286,1936.0,900.0,3104.0816326530608,2635.722257653062,1000000.0,204.08163265306123
2018-10-14,102,동북권,111161,성북구,31,18.0,0.02,0.033,0.6,0.003,42.857142857142854,67.76785714285715,750.0,8.571428571428573,961.0,324.0,1836.7346938775509,4592.482461734695,562500.0,73.46938775510206
2018-10-14,102,동북권,111152,동대문구,29,23.0,0.027000000000000003,0.031,0.6,0.006999999999999999,57.85714285714286,63.66071428571429,750.0,20.0,841.0,529.0,3347.448979591837,4052.686543367348,562500.0,400.0
